Édouard Cissé,1009,Midfielder,"Pau, France"
Pierre Issa,1146,Centre-back,"Germiston, South Africa"
Stéphane Porato,235,Goalkeeper,"Colombes, France"
Patrice Evra,54531,Left-back,"Dakar, Senegal"
Georges-Kévin Nkoudou,6949,Winger,"Versailles, France"
Joey Barton,32252,Midfielder,"Huyton, England"
François Omam-Biyik,1837,Forward,"Sackbayene, Cameroon"
George Weah,86814,Striker,
Habib Beye,2333,Right-back,"Suresnes, France"
Didier Santini,46,Defender,"Marseille, France"
Pau López,8160,Goalkeeper,"Girona, Spain"
Lucas Ocampos,12241,Winger,"Quilmes, Buenos Aires, Argentina"
William Ayache,305,side back,"Algiers, French Algeria"
Pol Lirola,2524,Right-back,"Mollet del Vallès, Spain"
Tyrone Mears,3245,Right-back,"Stockport, England"
Jocelyn Angloma,1871,Right-back,"Les Abymes, Guadeloupe"
Chris Makin,410,Full back,"St Helens, Lancashire, England"
Ludovic Asuar,31,Midfielder,"Marseille, France"
Cengiz Ünder,16625,Winger,"Sındırgı, Turkey"
Marley Aké,3875,Winger,"Béziers, France"
Laurent Fournier,454,Midfielder,"Lyon, France"
Tchiressoua Guel,235,Midfielder,"Sikensi, Ivory Coast"
Alain Roche,533,Defender,"Brive-la-Gaillarde, France"
Blaž Slišković,1823,Midfielder,"Mostar, FPR Yugoslavia"
Eduardo Berizzo,4469,Centre back,"Cruz Alta, Argentina"
Brice Dja Djédjé,1037,"Right back, wing back","Aboudé, Ivory Coast"
Andrés Mendoza,438,Forward,"Chincha Alta, Peru"
Bruno Cheyrou,1641,Midfielder,"Suresnes, France"
Alain Boghossian,2215,Midfielder,"Digne-les-Bains, France"
Fabrice Fiorèse,208,"Forward, winger","Chambéry, France"
Manuel dos Santos,86,Left back,"Praia, Cape Verde"
Richard Martini,20,Defender,"Marseille, France"
Michy Batshuayi,49849,Striker,"Brussels, Belgium"
Florian Maurice,779,Striker,"Sainte-Foy-lès-Lyon, France"
Momar Bangoura,130,Midfielder,"Dakar, Senegal"
Damien Gregorini,65,Goalkeeper,"Nice, France"
Carmelo Micciche,77,Striker,"Uckange, France"
Thierry Laurey,838,"Defender, Midfielder","Troyes, France"
Patrick Colleter,220,Full-back,"Brest, France"
Reynald Pedros,1382,Attacking midfielder,"Orléans, France"
Daniel Van Buyten,5279,Centre back,"Chimay, Belgium"
Pascal Baills,124,Defender,"Perpignan, France"
Joseph Yobo,5677,Defender,"Ogoni, Rivers State, Nigeria"
Karim Ziani,1098,Midfielder,"Sèvres, France"
Modou Sougou,1541,Winger,"Fissel, Senegal"
César Azpilicueta,49044,"Right-back, centre-back","Zizur Mayor, Spain"
Salomon Olembé,894,Left midfielder,"Yaoundé, Cameroon"
Leonardo Balerdi,6368,Centre back,"Villa Mercedes, Argentina"
William Prunier,1254,Defender,"Montreuil, France"
Franck Sauzée,1886,"Midfielder, sweeper","Aubenas, France"
Didier Drogba,108239,Striker,"Abidjan, Ivory Coast"
Javier Manquillo,6360,Right-back,"Madrid, Spain"
Nuno Tavares,16767,Left-back,"Lisbon, Portugal"
Jacky Bonnevay,165,Defender,"Le Coteau, France"
Souleymane Diawara,660,Defender,"Dakar, Senegal"
Victor Agali,632,Forward,"Okpanam, Nigeria"
Benjamin Gavanon,52,Central midfielder,"Marseille, France"
Ahmed Yahiaoui,132,Midfielder,"Marseille, France"
Daniel Bravo,3284,Midfielder,"Toulouse, France"
Yannick Fischer,45,Defender,"Sainte-Foy-la-Grande, France"
Philippe Christanval,1196,Centre-back,"Paris, France"
Claude Lowitz,42,Defender,"Figeac, France"
Hiroki Sakai,7095,Right back,"Kashiwa, Japan"
Florian Thauvin,20836,Winger,"Orléans, France"
Stéphane Mbia,4052,"Defensive midfielder, defender","Yaoundé, Cameroon"
Sylvain N'Diaye,221,Defensive midfielder,"Paris, France"
Grégory Sertic,1094,Defensive midfielder,"Brétigny-sur-Orge, France"
Chris Gadi,278,Winger,"Ris Orangis, France"
Djimi Traoré,4884,Defender,"Saint-Ouen, Seine-Saint-Denis, France"
Camel Meriem,393,Midfielder,"Montbéliard, France"
Sylvain Wiltord,8573,Right winger,"Neuilly-sur-Marne, France"
Dória,2045,Centre-back,"São Gonçalo, Brazil"
Álvaro González,5529,Centre-back,"Potes, Spain"
Éric Lada,22,Striker,"Chartres, France"
Pascal Olmeta,707,Goalkeeper,"Bastia, France"
Claude Makélélé,27018,Defensive midfielder,"Kinshasa, Zaire"
Alberto Malusci,48,Defender,"Pistoia, Italy"
Tony Cascarino,8485,Striker,"St Paul's Cray, England"
Didier Deschamps,45568,Defensive midfielder,"Bayonne, France"
Lucho González,3851,Midfielder,"Buenos Aires, Argentina"
Philippe Brunel,93,Midfielder,"Boulogne-sur-Mer, France"
Benoît Cauet,724,Midfielder,"Châtellerault, France"
Arthur Moses,294,Striker,"Accra, Ghana"
Alberto Rivera,61,Central midfielder,"Puertollano, Spain"
Valère Germain,3700,Striker,"Marseille, France"
Cédric Mouret,32,Striker,"Avignon, France"
Jean-Christophe Thomas,111,Midfielder,"Châlons-sur-Marne, France"
Mickaël Pagis,246,Forward,"Angers, France"
Guy Gnabouyou,361,Forward,"Marseille, France"
Mickaël Marsiglia,38,Midfielder,"La Ciotat, France"
Fabrice Moreau,92,Midfielder,"Paris, France"
Éric Di Meco,776,Left back,"Avignon, France"
Patrick Delamontagne,41,Midfielder,"La Bouéxière, France"
